0,0,1
0,1,3
0,2,4
0,3,5
0,4,6
0,5,7
0,6,8
0,7,9
0,8,2
1,0,
1,1,2
1,2,
1,3,2
1,4,23
1,5,
1,6,
1,7,
1,8,
2,0,
2,1,
2,2,3
2,3,1
2,4,342345
2,5,1
2,6,1
2,7,1
2,8,1
3,0,
3,1,
3,2,
3,3,4
3,4,
3,5,4
3,6,
3,7,
3,8,
4,0,1232
4,1,231
4,2,1
4,3,
4,4,5
4,5,
4,6,1
4,7,3
4,8,4
5,0,12
5,1,1
5,2,2
5,3,
5,4,
5,5,6
5,6,34
5,7,43
5,8,423
6,0,1
6,1,13
6,2,3
6,3,2
6,4,32
6,5,4
6,6,7
6,7,2
6,8,423
7,0,1
7,1,1212412
7,2,12
7,3,1212
7,4,1
7,5,2
7,6,523
7,7,8
7,8,423324
8,0,1
8,1,1
8,2,1
8,3,1
8,4,44321
8,5,1
8,6,434
8,7,1
8,8,9
